Year,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
2033,919866454,253,3635835.7865612647,27,134065220,259082150062726.0,16096029.015341828,No Mode,40.40167472895451,465274856,253,1839031.0513833992,7,71288504,62459290256082.95,7903119.020746363,No Mode,41.224585278956745
2034,921900843,253,3643876.8498023716,27,134381000,260094838855715.2,16127456.05654268,No Mode,40.41506184358005,473277036,253,1870660.2213438735,7,72486100,64709770835195.85,8044238.362654096,109,41.19944459240715
2035,923695859,253,3650971.774703557,27,134669230,260938668497158.22,16153596.147519544,67596,40.42887749915511,481490796,253,1903125.6758893281,7,73713700,67071103132756.625,8189694.93526814,687,41.17126254793303
2036,925390887,253,3657671.490118577,27,134945620,261689987887359.1,16176834.915624227,No Mode,40.446180786285744,489758610,253,1935804.7826086956,9,74948340,69486758744344.85,8335871.804697146,333,41.145560056579974
2037,926510937,253,3662098.565217391,27,135141000,262117121632186.2,16190031.551302986,181,40.46327349732944,498190946,253,1969134.1739130435,11,76206090,72000889635776.12,8485333.796367478,No Mode,41.11744133236438
2038,927762286,253,3667044.6086956523,27,135355310,262583499668510.44,16204428.396846043,No Mode,40.482942244219736,506531651,253,2002101.3873517786,13,77449620,74524311027430.23,8632746.43595132,No Mode,41.093797905446834
2039,928655365,253,3670574.565217391,28,135515310,262873943831568.1,16213387.796249373,No Mode,40.50061154599889,514979340,253,2035491.4624505928,13,78710136,77122678008070.84,8781951.833622798,1203,41.07220780763136
2040,929537822,253,3674062.537549407,28,135669000,263198394635059.8,16223390.355750546,No Mode,40.51517520742458,523319552,253,2068456.7272727273,14,79950500,79738400695399.55,8929636.089751897,376,41.05021079321633
2041,929405830,253,3673540.830039526,28,135672670,262926742610872.28,16215015.960857771,No Mode,40.53312752488974,531794855,253,2101955.9486166006,16,81208610,82443359496025.62,9079832.56982339,No Mode,41.02654708315691
2042,929023006,253,3672027.691699605,28,135635900,262541998286249.5,16203147.789434295,No Mode,40.54892301417434,540124669,253,2134880.114624506,16,82442504,85147652654262.55,9227548.572305785,140,41.00446474503204
