Entity,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
Cameroon,131923500,151,873665.5629139073,190920,1325613,171119640376.07428,413666.0976875846,No Mode,-1.4535490075452404,44668082,151,295815.11258278147,117879,757583,32929147725.80723,181463.901991022,No Mode,-0.05034956730828721
Canada,58685954,151,388648.70198675495,329737,463478,1076941130.343927,32816.78123070462,No Mode,-0.5887660974729614,52006688,151,344415.15231788077,123120,563208,25183303791.876637,158692.48183791392,No Mode,-1.6359866924964124
Cape Verde,1205767,151,7985.211920529801,2927,15274,15186403.661456948,3896.9736541907682,6236,-1.18339385657067,664882,151,4403.192052980133,2568,7309,2600066.0628697597,1612.4720347558775,2642,-0.8961622561146334
Cayman Islands,110065,151,728.9072847682119,249,1045,83047.72467991167,288.1800213059741,276,-1.361973426933229,90989,151,602.5761589403974,97,1335,230967.25916114796,480.5905317015182,118,-1.5269346631934935
Central African Republic,32615781,151,215998.54966887418,65217,315113,7945759888.449184,89138.99196451115,No Mode,-1.4420613160795703,12146846,151,80442.68874172185,41389,328277,2237965653.522472,47307.141675675906,No Mode,5.950762514118132
Chad,113259007,151,750059.6490066225,118651,1220596,181066787111.64267,425519.4321199006,No Mode,-1.622239142178836,45983115,151,304523.940397351,74173,805330,46445483785.53641,215512.14301179507,No Mode,-0.6025342873905215
Chile,28964396,151,191817.19205298013,80094,297949,5562423914.769528,74581.65937259326,No Mode,-1.59999864823601,23626090,151,156464.17218543048,69114,271659,5684170621.876821,75393.43885164558,No Mode,-1.5719977049063911
China,2052380071,151,13591921.0,3099844,33461050,78603527507686.77,8865863.04358954,No Mode,-1.1601938497154047,1936472447,151,12824320.841059603,7451333,19506194,15564701277426.033,3945212.4502269877,No Mode,-1.461592572381603
Colombia,95688960,151,633701.7218543047,358954,912584,26496108485.735424,162776.25283110377,No Mode,-1.236955733803148,60858557,151,403036.8013245033,159212,768782,50493048870.44026,224706.58394991513,No Mode,-1.4527536825752674
Comoros,3275729,151,21693.56953642384,7283,27775,40143521.206799075,6335.891508446075,27720,-0.5277853483502217,1221458,151,8089.12582781457,4144,17219,12759258.124061808,3572.0103756934705,5659,0.015755438833702673
Congo,28325766,151,187587.85430463575,37989,304931,9198201173.445292,95907.25297622329,No Mode,-1.5282153322102634,8998641,151,59593.649006622516,18663,164146,1733700819.1759827,41637.73311764202,No Mode,-0.17964224579362886
Cook Islands,45458,151,301.04635761589407,62,835,64557.09783664449,254.08088837345576,63,-0.7532076761819484,20038,151,132.7019867549669,67,360,2883.850596026491,53.70149528669096,129,5.534442223893562
Costa Rica,7835496,151,51890.70198675497,24321,84209,343139323.79726225,18524.020184540455,No Mode,-1.2381516236333332,5343525,151,35387.58278145696,10030,69639,517784655.71143484,22754.882019281817,No Mode,-1.5807393465870794
Cote d'Ivoire,153978421,151,1019724.642384106,148458,1717669,279642825427.8979,528812.6562667519,No Mode,-1.3539167011717264,54295543,151,359573.1324503311,91653,952003,59812695318.56904,244566.3413443662,No Mode,-0.3549900322960817
Croatia,6160944,151,40800.953642384105,15534,97115,512652987.3378367,22641.841518256344,No Mode,-0.5267890728954661,7095418,151,46989.52317880795,33114,57806,42132183.704459205,6490.93088119564,No Mode,-0.9090454053212662
Cuba,17615110,151,116656.35761589404,38415,276269,4707479492.524592,68611.07412455071,No Mode,-0.39235479874543033,15230298,151,100862.90066225166,59969,169657,819748978.863399,28631.258771898225,No Mode,-1.2719537401892131
Curacao,308192,151,2041.0066225165563,739,4591,1498166.5799558507,1223.9961519367007,1399,-0.9128265218477098,259248,151,1716.8741721854306,988,2370,310722.6973951435,557.4250598915908,989,-1.7986044155416772
Cyprus,1906648,151,12626.807947019868,9913,15741,2528986.8362030853,1590.2788548563065,10607,-1.1155076992277158,1699822,151,11257.099337748345,5541,20398,27699083.74339954,5262.991900373735,6179,-1.403099317243186
Czechia,15929958,151,105496.41059602649,69646,195298,1127352578.8169527,33576.071521501035,No Mode,0.05866281425656661,17790017,151,117814.6821192053,93356,140176,174755703.8449448,13219.519803871273,No Mode,-1.3445588634979126
Democratic Republic of Congo,623575804,151,4129641.086092715,563665,7006946,5953997269537.65,2440081.4063341515,No Mode,-1.63457714835739,202676934,151,1342231.3509933774,326789,3917828,955021978293.1362,977252.25929293,No Mode,0.09335667881948195
Denmark,9215514,151,61029.894039735096,50873,88058,73202850.82869694,8555.866456922813,No Mode,0.48990514159208365,9109775,151,60329.6357615894,37944,71523,86936224.37977928,9323.959694238241,67513,-0.546580304605444
Djibouti,2962745,151,19620.827814569537,2821,26584,53038657.25015453,7282.764396172276,24911,0.2560241772881815,1589097,151,10523.82119205298,1410,20725,37688869.2011479,6139.126094253798,No Mode,-1.197729487925007
Dominica,161954,151,1072.5430463576158,408,2518,451003.9564679913,671.5682813147084,963,-0.7578356714124199,116649,151,772.5099337748344,518,1185,14082.238233995615,118.66860677532038,849,0.7566750309674766
Dominican Republic,26166507,151,173288.12582781457,108014,221375,1177813782.4040613,34319.29169438177,No Mode,-1.1763839661167228,13624336,151,90227.39072847682,42988,158131,1928273253.8929794,43912.10828339923,No Mode,-1.5121076110527505
East Timor,4095282,151,27121.07284768212,17833,39101,27103131.761324488,5206.0668225950085,No Mode,-1.0741743654088027,2393306,151,15849.708609271524,7214,26756,33579945.154525414,5794.820545497972,No Mode,-0.8944367214990456
Ecuador,36595109,151,242351.71523178808,156313,333805,2995443126.8850336,54730.641572021006,No Mode,-1.2794830472269838,20279998,151,134304.6225165563,58687,268061,5755004387.889894,75861.74522043303,No Mode,-1.1496532640029125
Egypt,329135113,151,2179702.7350993375,1155065,2807083,219666529331.80908,468685.96024610027,No Mode,-0.5799610074157502,146168110,151,968000.7284768212,459863,2081343,252309340182.10605,502304.0316203983,No Mode,-0.7538172355994428
El Salvador,15725148,151,104140.05298013244,40243,182182,2172285832.0638413,46607.78724702387,No Mode,-1.2495916679244115,8785699,151,58183.437086092716,38352,85629,203695153.74101546,14272.181113656576,No Mode,-0.8456200148255921
Equatorial Guinea,7054670,151,46719.66887417219,9638,71298,583486836.3829582,24155.47218298492,No Mode,-1.5438541895659215,2893994,151,19165.523178807947,5184,47408,150355686.21112597,12261.960944772494,6263,-0.736623180892678
Eritrea,14278273,151,94558.09933774834,36213,120431,617071246.9433986,24840.918802318858,No Mode,-0.39288934868825853,5254311,151,34796.76158940397,20697,75306,223985669.0227815,14966.15077509182,31806,0.7485617816948658
Estonia,1979300,151,13107.94701986755,6095,24868,32364783.570507705,5689.005499250963,No Mode,-1.109567270549438,2399088,151,15888.0,11910,22234,4241067.893333341,2059.385319296353,16684,0.12855247848552986
Eswatini,3760021,151,24900.80132450331,13667,36818,45617038.45359826,6754.038677235885,15375,-1.2774946096809117,1948735,151,12905.529801324503,5725,20016,25521899.784105957,5051.920405559252,No Mode,-1.4676738672149625
Ethiopia,529309269,151,3505359.3973509935,799118,4872318,2014359705786.6526,1419281.4047209427,No Mode,-1.113029151651078,183569013,151,1215688.8278145695,492424,2989120,443876008140.10333,666240.203034989,No Mode,0.37905121938986985
Europe (UN),1136273351,151,7524989.079470199,4942814,12222241,5344759579734.161,2311873.6080794213,No Mode,-0.8403980301370035,1216006113,151,8053020.61589404,5718317,9612150,1129917444050.0674,1062975.7495117504,No Mode,-0.5702598997269073
Falkland Islands,4867,151,32.2317880794702,18,52,95.71258278145693,9.783280778013934,22,-1.2026989403696362,4702,151,31.13907284768212,15,51,67.77386313465784,8.232488271152159,30,-0.260716074829761
Faroe Islands,109154,151,722.8741721854304,583,961,6531.164061810183,80.81561768501298,705,-0.08899248455636588,74041,151,490.3377483443709,244,691,19531.358498896236,139.7546367706497,246,-1.2346482900054407
Fiji,2427758,151,16077.867549668874,9135,23561,17125782.16900662,4138.330843348151,No Mode,-1.1528621542435313,1284190,151,8504.569536423842,3972,12348,9685470.740132445,3112.1488942742512,12289,-1.6113807729068208
Finland,7973159,151,52802.377483443706,35105,98369,251187916.35655645,15848.90899578127,No Mode,0.07807901839631626,8439531,151,55890.93377483444,37947,70461,95956744.22225158,9795.751335260178,No Mode,-1.3813279078226515
France,108495550,151,718513.5761589404,623778,880805,6010675092.739184,77528.5437289982,No Mode,-1.172604410900055,96929999,151,641920.5231788079,502905,791309,9847753290.997835,99235.84680445789,542727,-1.6063402960305218
French Guiana,945211,151,6259.675496688742,812,9595,10649432.34066225,3263.346800550357,9585,-1.331168511555975,300493,151,1990.0198675496688,422,5610,2388135.3262693146,1545.359287113943,427,-0.8493711262943684
French Polynesia,475564,151,3149.430463576159,1198,6101,1967716.366799119,1402.7531382246552,4392,-1.1722369618950934,276529,151,1831.317880794702,623,3523,1313542.258278146,1146.0987122748834,886,-1.6350414072870225
