Entity,Data_Type,Births_Sum,Births_Count,Births_Mean,Births_Min,Births_Max,Births_Var,Births_Std,Births_Mode,Births_Kurt,Deaths_Sum,Deaths_Count,Deaths_Mean,Deaths_Min,Deaths_Max,Deaths_Var,Deaths_Std,Deaths_Mode,Deaths_Kurt
Belarus,Projection,3628415,77,47122.27272727273,28960,66215,155345876.06937802,12463.782574699304,No Mode,-1.401650223698789,8245522,77,107084.7012987013,78346,123677,241983880.7385507,15555.831084791023,No Mode,-0.8389874603334908
Belgium,Estimate,9511144,74,128528.97297297297,101686,159381,214505167.78008187,14645.994939917256,No Mode,-0.6928758005599156,8130325,74,109869.25675675676,101605,127253,31956382.905775685,5652.997692001623,No Mode,-0.0876013105580089
Belgium,Projection,7573700,77,98359.74025974025,90756,109025,29555021.11585784,5436.452990310671,No Mode,-0.7708333276045423,10233074,77,132897.06493506493,115448,143883,66407839.79835942,8149.100551493975,No Mode,-0.37510781226251577
Belize,Estimate,440486,74,5952.513513513513,3651,8039,1920947.4587189879,1385.98248860474,7410,-1.3539592033994614,98296,74,1328.3243243243244,1056,2352,105662.27693446873,325.05734407096344,1079,1.090386130950701
Belize,Projection,409630,77,5319.87012987013,3435,7529,1477708.298701299,1215.6102577311935,No Mode,-1.1366344807961406,373099,77,4845.441558441558,2065,6777,2603668.7761449083,1613.5887878096166,6774,-1.4064627964009355
Benin,Estimate,18380905,74,248390.6081081081,92031,478062,15026829155.364874,122583.96777460286,No Mode,-1.0891898863409208,6264983,74,84661.93243243243,70365,125402,270200988.09126234,16437.791460268083,No Mode,0.12388360454873659
Benin,Projection,45864461,77,595642.3506493507,483336,634962,1715671870.4938478,41420.66960460499,No Mode,0.7154313304892779,19556389,77,253979.0779220779,125969,424302,8373853322.072797,91508.76090338452,No Mode,-1.18245369683291
Bermuda,Estimate,61219,74,827.2837837837837,521,1145,31238.15124028143,176.74317876591851,537,-0.7349499203950356,31883,74,430.85135135135135,344,568,3371.0049981488232,58.06035651069345,373,0.09980496552303775
Bermuda,Projection,27859,77,361.8051948051948,242,512,6669.158920027355,81.66491853928072,No Mode,-1.2245616003812718,56062,77,728.077922077922,559,897,12375.362269309626,111.2446055739766,580,-1.4320768587317005
Bhutan,Estimate,1083381,74,14640.283783783783,8355,22547,17209082.39781562,4148.38310644227,No Mode,-0.9354639417182704,432098,74,5839.1621621621625,4644,7270,1028947.891151426,1014.3706872496987,No Mode,-1.719530531200271
Bhutan,Projection,569290,77,7393.376623376624,5456,9914,2042791.2904989708,1429.2624988080288,No Mode,-1.161641948048921,678528,77,8812.051948051949,4799,11894,6537783.392002741,2556.9089526228227,11756,-1.5179555932020015
Bolivia,Estimate,16543431,74,223559.87837837837,133003,261112,1827056513.6151423,42744.08162091148,No Mode,-0.8021603886428945,6396187,74,86434.95945945945,79840,140749,74208162.28600527,8614.415957336008,No Mode,28.517130620072336
Bolivia,Projection,17904254,77,232522.77922077922,193045,261796,467575623.2795608,21623.497017817466,No Mode,-1.2478984430098856,12239988,77,158960.8831168831,89023,212393,1698743676.6572113,41215.818282028704,No Mode,-1.3944629310140941
Bonaire Sint Eustatius and Saba,Estimate,17060,74,230.54054054054055,173,280,754.8271010736767,27.474116929824635,209,-0.6209655143196167,8260,74,111.62162162162163,72,249,1579.6356904850056,39.74463096425737,77,2.7104210352011724
Bonaire Sint Eustatius and Saba,Projection,20634,77,267.97402597402595,213,307,843.8940533151032,29.04985461779634,297,-1.2624928308591976,30848,77,400.6233766233766,260,458,3005.13260423787,54.81908977936308,432,0.3680061511161501
Bosnia and Herzegovina,Estimate,5013618,74,67751.5945945946,24569,114833,890038869.3402436,29833.519224862554,No Mode,-1.3660673009719115,2744229,74,37084.17567567567,26398,82851,100628017.90022214,10031.351748404706,No Mode,8.15562127194821
Bosnia and Herzegovina,Projection,1230178,77,15976.337662337663,9875,24430,20744434.068694443,4554.605808266446,No Mode,-1.1065949392661234,2774671,77,36034.68831168831,22894,43443,50498335.37525626,7106.218078222499,42674,-1.2403960918020782
Botswana,Estimate,3022869,74,40849.58108108108,18806,61615,179341694.00018498,13391.851776367037,No Mode,-1.2847130308601786,931659,74,12589.986486486487,7339,22098,28323533.52036282,5321.985862473032,No Mode,-1.372102734991786
Botswana,Projection,3955741,77,51373.25974025974,41374,61418,30444210.694805264,5517.627270376757,No Mode,-1.0851675234518625,2457016,77,31909.2987012987,14462,46033,119962921.2122352,10952.758611976948,No Mode,-1.510734808714968
Brazil,Estimate,243858799,74,3295389.1756756757,2476917,3997588,169805741742.22888,412074.92248646833,No Mode,-0.9782051986107776,80118296,74,1082679.6756756757,910275,1753027,23087552606.30432,151945.88709900746,No Mode,7.027641927926513
Brazil,Projection,140517712,77,1824905.3506493506,1268230,2572100,139770922994.04672,373859.49632722547,No Mode,-1.1147308246613794,185509154,77,2409209.7922077924,1498360,2801366,147400116581.90332,383927.22823720553,No Mode,-0.27389102004806
British Virgin Islands,Estimate,20508,74,277.13513513513516,209,357,1058.9951869677884,32.5422062400168,255,-0.41100430660302045,7262,74,98.13513513513513,54,259,2360.0636801184755,48.580486618790424,81,1.640822896133384
British Virgin Islands,Projection,19660,77,255.32467532467533,202,324,1493.222146274774,38.642232677147085,210,-1.2071647070177076,35852,77,465.61038961038963,229,596,11498.030416951462,107.22886932608895,436,-0.5949329941300041
Brunei,Estimate,414096,74,5595.891891891892,2348,7276,1734622.3717141792,1317.0506336941564,6252,-0.43948619660221677,87984,74,1188.972972972973,842,2986,195786.35542391698,442.47751968197997,857,3.796825183250997
Brunei,Projection,380545,77,4942.142857142857,4099,6167,276142.0714285707,525.4922182378829,5352,-0.8146702769482883,403650,77,5242.207792207792,2470,6544,1664340.8246753237,1290.093339520565,No Mode,-0.7046761278853579
Bulgaria,Estimate,7861926,74,106242.24324324324,58839,155976,1144884181.145501,33836.1372078064,No Mode,-1.6950041213174953,7117415,74,96181.28378378379,60204,148512,381199260.3156244,19524.324836357962,No Mode,-0.7238068350121107
